record_id,category,record_type,action_title,section,source_page_title,source_page_url,linked_resource_title,linked_resource_url,linked_resource_agency,deep_parsed,source_last_updated,retrieved_at,requires_human_review,source_content_hash,record_content_hash
bdd91c837d22e8a9bc6b,french_learning,detail_action,Offer French learning activities to employees,Learn French,Learn French,https://www.quebec.ca/en/education/learn-french,,,Gouvernement du Québec,true,"June 9, 2026",2026-06-12T17:58:33+00:00,true,de3ce28b2944969566b3e3e574a444a138c88287f0266f9508d2e1a149cb480e,c357668cec0557f6a553c0405e80f992bf598f44403e99994c41b1163897f1c1
de7a52929a6915a3cb6a,french_learning,hub_action,Registering for a French course,Learning French,Settle and integrate in Québec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,,,Gouvernement du Québec,true,"June 10, 2026",2026-06-12T17:58:32+00:00,true,1026af83fa85936a9a0a7b99f5b5234befcd76a9be170c4a15f29cbc69be5b04,9dacd61fe888aab3f98580897bd6bd98b45611424ab9df6b8d1d9869fe7b7b2b
bd334af68bc76024a706,french_learning,linked_resource,Accompagnement Québec integration service,Learning French,Settle and integrate in Québec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,Accompagnement Québec integration service,https://www.quebec.ca/immigration/service-integration-personnes-immigrantes,Gouvernement du Québec,false,"June 10, 2026",2026-06-12T17:58:32+00:00,true,1026af83fa85936a9a0a7b99f5b5234befcd76a9be170c4a15f29cbc69be5b04,bc3eb28655aadc2525bde44e7f6f0315ade7d83ee6c65322d407130b9354e16b
5e48cde8414b506cf97d,french_learning,linked_resource,Find out more about courses at a partner language school,Learn French,Learn French,https://www.quebec.ca/en/education/learn-french,Find out more about courses at a partner language school,https://www.quebec.ca/en/education/learn-french/partner-school,Gouvernement du Québec,false,"June 9, 2026",2026-06-12T17:58:33+00:00,true,de3ce28b2944969566b3e3e574a444a138c88287f0266f9508d2e1a149cb480e,b88cd93d1e73fa86be90e4ea1ec2800bf96f6d190c62a4fdd519a5e76fc5e270
a82f243f968ea1e67933,french_learning,linked_resource,Find out more about full-time courses,Learn French,Learn French,https://www.quebec.ca/en/education/learn-french,Find out more about full-time courses,https://www.quebec.ca/en/education/learn-french/full-time-courses,Gouvernement du Québec,false,"June 9, 2026",2026-06-12T17:58:33+00:00,true,de3ce28b2944969566b3e3e574a444a138c88287f0266f9508d2e1a149cb480e,4ed1d3d553e164d7087a35a1de57435784f0cfbb801a421debcf299bd960d2ef
55717fb9df7b64d2ea85,french_learning,linked_resource,Find out more about online courses,Learn French,Learn French,https://www.quebec.ca/en/education/learn-french,Find out more about online courses,https://www.quebec.ca/en/education/learn-french/online-courses,Gouvernement du Québec,false,"June 9, 2026",2026-06-12T17:58:33+00:00,true,de3ce28b2944969566b3e3e574a444a138c88287f0266f9508d2e1a149cb480e,beed6f55ef4dbaa05a2b2f9e5869ae7f656bb06b65a712bf2ad8c7ca26a0cf89
a691d8a974122baa9922,french_learning,linked_resource,Find out more about part-time courses,Learn French,Learn French,https://www.quebec.ca/en/education/learn-french,Find out more about part-time courses,https://www.quebec.ca/en/education/learn-french/part-time-courses,Gouvernement du Québec,false,"June 9, 2026",2026-06-12T17:58:33+00:00,true,de3ce28b2944969566b3e3e574a444a138c88287f0266f9508d2e1a149cb480e,869133239d78726fd1823fdba502fe8d5a3f23dec6173e91f36d8d50e8701b45
c982e6ab35792eb5ca93,french_learning,linked_resource,Find out more about specialized courses,Learn French,Learn French,https://www.quebec.ca/en/education/learn-french,Find out more about specialized courses,https://www.quebec.ca/en/education/learn-french/specialized-courses,Gouvernement du Québec,false,"June 9, 2026",2026-06-12T17:58:33+00:00,true,de3ce28b2944969566b3e3e574a444a138c88287f0266f9508d2e1a149cb480e,02a00c2e58558668f46e98c96ea930c24d74d8a8147cbc93790a01252cc1d1f9
c7e7fc851508d42e6606,french_learning,linked_resource,free French courses to immigrants,Learning French,Settle and integrate in Québec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,free French courses to immigrants,https://www.quebec.ca/en/education/learn-french,Gouvernement du Québec,true,"June 10, 2026",2026-06-12T17:58:32+00:00,true,1026af83fa85936a9a0a7b99f5b5234befcd76a9be170c4a15f29cbc69be5b04,8c5a85f249f84c05926d528a55e5d64a809cb1988b819dc35101104ea7431960
8c8b253c7899a9e18168,french_learning,linked_resource,Learning French to become a member of a professional order,Learn French,Learn French,https://www.quebec.ca/en/education/learn-french,Learning French to become a member of a professional order,https://www.quebec.ca/en/education/learn-french/professional-order,Gouvernement du Québec,false,"June 9, 2026",2026-06-12T17:58:33+00:00,true,de3ce28b2944969566b3e3e574a444a138c88287f0266f9508d2e1a149cb480e,c1d1e7de0683b47ea7994d3951243997a810d2e1ec6cb6e54b4e1cf4af4f2cd7
